SYMBOL,Name,ISIN,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,TIMESTAMP
NSE:FLFL,Future Lifestyle Fashions Limited,INE452O01016,EQ,381,385.9,365.55,370,374.8,31-Jan-18
NSE:FMGOETZE,Federal-Mogul Goetze (India) Limited.,INE529A01010,EQ,543.6,553.95,533,534.35,535,31-Jan-18
NSE:FMNL,Future Market Networks Limited,INE360L01017,EQ,138.65,138.65,126.65,128.05,127.5,31-Jan-18
NSE:FORTIS,Fortis Healthcare Limited,INE061F01013,EQ,147.1,147.5,135.15,139.05,136.5,31-Jan-18
NSE:FORTUNEFIN,Fortune Financial Services (India) Limited,INE924D01017,EQ,255,258,245.2,253.45,250.55,31-Jan-18
NSE:FOSECOIND,Foseco India Limited,INE519A01011,EQ,1760.55,1799.4,1760,1785.05,1793,31-Jan-18
NSE:FRETAIL,Future Retail Limited,INE752P01024,EQ,558,562.8,546.75,557.85,557.85,31-Jan-18
NSE:FSC,Future Supply Chain Solutions Limited,INE935Q01015,EQ,670,689,661,685.55,685,31-Jan-18
NSE:FSL,Firstsource Solutions Limited,INE684F01012,EQ,41.55,42.35,40.7,41,40.9,31-Jan-18
NSE:GABRIEL,Gabriel India Limited,INE524A01029,EQ,173,173.75,168,168.85,170,31-Jan-18
NSE:GAEL,Gujarat Ambuja Exports Limited,INE036B01022,EQ,221.35,245,220.1,241.35,243,31-Jan-18
NSE:GAIL,GAIL (India) Limited,INE129A01019,EQ,477.95,483.7,471.5,478.6,479,31-Jan-18
NSE:GALLANTT,Gallantt Metal Limited,INE297H01019,EQ,41.4,43.75,41.2,42.9,42.55,31-Jan-18
NSE:GALLISPAT,Gallantt Ispat Limited,INE528K01011,EQ,312.05,328.9,304.8,310.75,306,31-Jan-18
NSE:GAMMNINFRA,Gammon Infrastructure Projects Limited,INE181G01025,EQ,3.5,3.6,3.45,3.5,3.55,31-Jan-18
NSE:GANDHITUBE,Gandhi Special Tubes Limited,INE524B01027,EQ,427.5,427.5,420.2,423.8,424,31-Jan-18
NSE:GANECOS,Ganesha Ecosphere Limited,INE845D01014,EQ,409.7,409.7,391.25,401,401.7,31-Jan-18
NSE:GANESHHOUC,Ganesh Housing Corporation Limited,INE460C01014,EQ,158,161.9,155.45,159.1,159,31-Jan-18
NSE:GARDENSILK,Garden Silk Mills Limited,INE526A01016,EQ,40.1,41.2,39.65,40.3,40.1,31-Jan-18
